,name,Link,Plot
688,A Nanny's Revenge (2012),https://subslikescript.com/movie/A_Nannys_Revenge-2368537,"When Gina Wright finds out that both of her parents were killed and that wealthy contractor Parker Randall is to blame, she vows to get even. Securing a job as a nanny to Parker's troubled stepson, Gina moves into Randall's house with plans to make him confess his part in the crime, but soon realizes that the ruthless Randall has very dark plans of his own."
689,A Napoli non piove mai (2015),https://subslikescript.com/movie/A_Napoli_non_piove_mai-4024536,Three people with psychological syndromes live in Neaples. Chance will bring their lives together with funny outcomes.
690,A Nashville Christmas Carol (2020),https://subslikescript.com/movie/A_Nashville_Christmas_Carol-13341432,"A workaholic television producer receives a visit from her recently deceased mentor, who warns her that her current path leads to a dark future."
691,A Nashville Country Christmas (2022),https://subslikescript.com/movie/A_Nashville_Country_Christmas-22688146,"Follows a country music superstar who bolts from her outrageous lifestyle and hides at her grandmother's farm, where she finds romance when she reconnects with her handsome ex."
692,A Nation Adrift (1995),https://subslikescript.com/movie/A_Nation_Adrift-949833,This is the true story of how God's sovereign hand guided the founders of America. It takes you on a journey...from Christopher Columbus to Jamestown...from Valley Forge to the ...
693,A Neighbor's Deception (2017),https://subslikescript.com/movie/A_Neighbors_Deception-6237306,A woman begins to suspect that her therapist neighbor's offer to free treatment is not the altruistic gesture it was meant to be.
694,A Nest of Gentry (1969),https://subslikescript.com/movie/A_Nest_of_Gentry-64268,"Lavretsky returns to his estate after stay in Paris.Frustrated with life,in his wife's unfair, he falls in love with Lisa. Suddenly the arriving of Fëdors woman which before has been reported the death, completes the simple love."
695,A New Christmas (2019),https://subslikescript.com/movie/A_New_Christmas-9201720,"Kabir is a lonely medical student in New York, estranged from his wife and grieving the loss of his mother. When he meets Kioni, a charming film student from Kenya, she persuades him to ..."
696,A New Husband for Christmas (2020),https://subslikescript.com/movie/A_New_Husband_for_Christmas-12092722,Centered around one couple (Stan and Kelly Stevenson) who seem to be more committed to growing apart rather than growing together. Their friends are caught in the middle of divorce ...
697,A New Ice Age (2008),https://subslikescript.com/movie/A_New_Ice_Age-1363487,
698,A New Kind of Love (1963),https://subslikescript.com/movie/A_New_Kind_of_Love-57360,The fashion industry and Paris provide the setting for a comedy surrounding the mistaken impression that Joanne Woodward is a high-priced call girl. Paul Newman is the journalist interviewing her for insights on her profession.
699,A New Leaf (1971),https://subslikescript.com/movie/A_New_Leaf-67482,"Henry Graham is a man with a problem: he has run through his entire inheritance, and is completely unequipped to provide for himself. His childhood guardian, Uncle Harry (a deliciously mean-spirited James Coco), refuses to give him a dime, and Henry, completely unwilling to exercise the only solution he sees--suicide-- devises a plan with the help of his imaginative butler: he can make money the old-fashioned way--he can marry it. With a temporary loan from Uncle Harry to tide him over, Henry has six weeks to find a bride, marry her, and repay the money, or else he must forfeit all his property to his uncle. With only days remaining, Henry meets clumsy, painfully shy heiress Henrietta Lowell (played by director Elaine May). She's the answer to his prayers--if only Henry can overcome the obstacles placed in his path by Uncle Harry, Henrietta's lawyer, and Henry's own reluctance to wed."
700,A New Life (2002),https://subslikescript.com/movie/A_New_Life-310313,The story involves a young American who falls obsessively in love with a mysterious courtesan named Melania against the backdrop of a dilapidated Eastern European landscape.
701,A New Love in Tokyo (1994),https://subslikescript.com/movie/A_New_Love_in_Tokyo-109059,"A look a the lives of two sex workers in Tokyo: Rei, who works as an S&M dominatrix, and Ayumi, in the more straightforward profession of call girl. In addition to their working life, the film also looks at their private lives. Rei is acting in an amateur theatre company (along with the receptionist from Ayumi's escort service), while Ayumi is living with her student-boyfriend as he struggles to finally get accepted to college."
702,A New Orleans Noel (2022),https://subslikescript.com/movie/A_New_Orleans_Noel-18350854,"Follows Grace and Anthony, who despite having gone to college to study architecture together, are too different, but things between them change after both are hired to work on the same place and end up celebrating Christmas together."
703,A New Year's Resolution (2021),https://subslikescript.com/movie/A_New_Years_Resolution-11363582,"When a morning show producer makes a New Year's resolution to say yes more, she crosses paths with a confirmed Yes man who just might hold the key to her biggest story and to her heart."
704,A New York Christmas Wedding (2020),https://subslikescript.com/movie/A_New_York_Christmas_Wedding-10768194,"As her Christmas Eve wedding draws near, Jennifer is visited by an angel and shown what could have been if she hadn't denied her true feelings for her childhood best friend."
705,A Night at the Opera (1935),https://subslikescript.com/movie/A_Night_at_the_Opera-26778,"The Marx Brothers take on high society. Two lovers who are both in opera are prevented from being together by the man's lack of acceptance as an operatic tenor. Pulling several typical Marx Brothers' stunts, they arrange for the normal tenor to be absent so that the young lover can get his chance."
706,A Night at the Roxbury (1998),https://subslikescript.com/movie/A_Night_at_the_Roxbury-120770,"The Roxbury Guys, Steve and Doug Butabi, want to get into the best club in town, and also hope to open their own club. Vivica, a gold-digging supermodel, and her friend Cambi try to work the Roxbury Guys for their money, only to find out the pair is broke."
707,A Night in 97 (2020),https://subslikescript.com/movie/A_Night_in_97-10776700,"Set during the 1997 general election 'Scandal In 97' follows Bertie Oldcross, Labour's candidate for Scarborough and Whitby, and his campaign manager Simon, as they attempt to cover up a crime on the eve of polling day."
708,A Night in Casablanca (1946),https://subslikescript.com/movie/A_Night_in_Casablanca-38777,"In post-war Casablanca, Ronald Kornblow is hired to run a hotel whose previous managers have all wound up being murdered. French soldier Pierre suspects the involvement of ex-Nazis, specifically Count Pfefferman, in reality the notorious Heinrich Stubel. But Pierre himself is accused of collaborating with the enemy, and attempts to clear his name with the help of his girlfriend Annette and cagey buddy Corbaccio. They enlist the aid of Pfefferman's beleaguered mute valet, Rusty, and discover a hoard of war booty the Nazis have cached in the hotel."
709,A Night in Nude (1993),https://subslikescript.com/movie/A_Night_in_Nude-180020,"A private investigator takes on an odd job to retrieve a lost Rolex, only to find himself lured into a case filled with violence and sex by his mysterious employer. (Japanese with English subtitles)."
710,A Night in the Cabin (2017),https://subslikescript.com/movie/A_Night_in_the_Cabin-5963066,"When a couple visits a remote cabin and cross paths with a compulsive liar, their vacation takes a dramatic turn for the worse."
711,A Night in the Life of Jimmy Reardon (1988),https://subslikescript.com/movie/A_Night_in_the_Life_of_Jimmy_Reardon-95736,"A recent high school graduate is faced with two options, either go to a business school where his father wants him to go to, or get a full time job. However he decides to defy his father and go to Hawaii. Trouble is he has no money. Along the way he comes to understand his parents and eventually bonds with his father."
712,A Night of Horror: Nightmare Radio (2019),https://subslikescript.com/movie/A_Night_of_Horror_Nightmare_Radio-10756374,"Rod, radio DJ, hosts a popular horror-themed show packed with tales of terror for eager listeners. When he receives alarming calls from a horrified child things start to feel off."
713,A Night to Regret (2018),https://subslikescript.com/movie/A_Night_to_Regret-7620746,"When Chelsea meets up with her estranged childhood best friend, Milla, she's unprepared for the events that follow. Milla, who is now a webcam girl briefly catches Chelsea on camera during ..."
714,A Night to Remember (1942),https://subslikescript.com/movie/A_Night_to_Remember-36203,"A woman rents a gloomy basement apartment in Greenwich Village, thinking it will provide the perfect atmosphere for her mystery writer husband to create his next book. They soon find themselves in the middle of a real-life mystery when a corpse turns up in their apartment."
715,A Night Too Young (2012),https://subslikescript.com/movie/A_Night_Too_Young-2199553,"Two boys find themselves in a young girl's flat with two other men and here they experience their first encounter with love and sexuality. The children lose track of time. They were expected home long ago. They drink, throw up and are intoxicated by love and ""the shameless, unbridled and licentious"" world in which David, Katerina and Stepán live."
716,A Night with Lou Reed (1983),https://subslikescript.com/movie/A_Night_with_Lou_Reed-417015,"A Lou Reed concert at the Bottom Line in New York City, 1983. Tracklist: Sweet Jane, I'm Waiting For The Man, Martial Law, Don't Talk To Me About Work, Women, Waves of Fear, Walk on the Wild Side, Turn Out the Lights, New Age, Kill Your Sons, Satellite of Love, White Light / White Heat, Rock And Roll."
717,A Night Without Armor (2016),https://subslikescript.com/movie/A_Night_Without_Armor-3912442,"A married police captain arrives at a lake to watch the best meteor shower of the year. At a crossroads in his life, Adam gets an unexpected visit from an eccentric, single nurse. As the night progresses and the conversation gets deeper, Adam and Nicole realize the stars aren't the only things falling."
718,A Nightmare on Elm Street (2010),https://subslikescript.com/movie/A_Nightmare_on_Elm_Street-1179056,"Death stalks the dreams of several young adults to claim its revenge on the killing of Freddy Kruger. Chased and chastised by this finger-bladed demon, it is the awakening of old memories and the denials of a past of retribution that spurns this hellish vision of a dreamlike state and turns death into a nightmare reality."
719,A Nightmare on Elm Street (1984),https://subslikescript.com/movie/A_Nightmare_on_Elm_Street-87800,"On Elm Street, Nancy Thompson and a group of her friends including Tina Gray, Rod Lane and Glen Lantz are being tormented by a clawed killer in their dreams named Freddy Krueger. Nancy must think quickly, as Freddy tries to pick off his victims one by one. When he has you in your sleep, who is there to save you?"
720,A Nightmare on Elm Street 4: The Dream Master (1988),https://subslikescript.com/movie/A_Nightmare_on_Elm_Street_4_The_Dream_Master-95742,"Following up the previous Nightmare film, the dream demon Freddy Krueger is resurrected from his apparent demise, and rapidly tracks down and kills all three of the surviving Elm Street kids. However, Kristen (who has the ability to draw others into her dreams) wills her special ability to her friend Alice before her demise. Afterwords, Alice soon realizes that Freddy is taking advantage of that unknown power she now wields to pull a new group of teenage children into his foul domain."
721,A Nightmare on Elm Street 5: The Dream Child (1989),https://subslikescript.com/movie/A_Nightmare_on_Elm_Street_5_The_Dream_Child-97981,"Alice, having survived the previous installment of the Nightmare series, finds the deadly dreams of Freddy Krueger starting once again. This time, the taunting murderer is striking through the sleeping mind of Alice's unborn child. His intention is to be ""born again"" into the real world. The only one who can stop Freddy is his dead mother, but can Alice free her spirit in time to save her own son?"
722,A Nightmare Wakes (2020),https://subslikescript.com/movie/A_Nightmare_Wakes-5607098,"An adaptation of the novel ""Frankenstein,"" as told through the life of Mary Shelley. As she creates her masterpiece, she gives birth to a monster."
723,A Noose Is Waiting for You Trinity (1972),https://subslikescript.com/movie/A_Noose_Is_Waiting_for_You_Trinity-69184,"Trinity is an ex-gunslinger desperately wanting to be forgiven and accepted by his family that he abandoned years earlier. Unfortunately for him, a ruthless bounty hunter is on his trail. The bounty hunter tracks Trinity down and forces him to return to his violent ways in order to protect himself and his family."
724,A Norman Rockwell Christmas Story (1995),https://subslikescript.com/movie/A_Norman_Rockwell_Christmas_Story-5283212,"This film brings to life a famous Norman Rockwell painting. Samuel Cavanaugh, a Scrooge like character, revisits the frozen pond each year to relive the happier moments in his life. Michael Grant is an unhappy young boy attempting to skate with his dad's oversized skates, who was missing in action in Korea. Their paths cross several times as our story unfolds. Its a heartwarming Christmas tale"
725,A Novel Romance (2011),https://subslikescript.com/movie/A_Novel_Romance-1535102,"Budding novelist Nate Shepherd, late 40's, and the young and beautiful Jenny Sparks, early 30's, meeting in a fancy New York eatery. Complete strangers who have had a rotten day, waiting for their better halves and the rest of their parties they reveal to one another that they are going to meet new people tonight. They quickly realize they are waiting for each other. Just as they begin to connect, Nate's girlfriend (Adi), and Jenny's boyfriend, Buddy, show up. Buddy rubs Nate the wrong way immediately and we see that Adi is impressed with Buddy's stature and wealth, both of which Nate cannot compare. This dinner looks to be an uncomfortable experience for all. After dinner we go home with both couples. Adi breaks up with a stunned Nate. It is obvious the biggest reason is money. At Jenny and Buddy's apartment we learn their relationship is healthy on the sexual front, unfortunately, it seems to be hurting everywhere else. Buddy's good friend is coming to NYC for a visit although Jenny wants him to come with her to her cousin's wedding in Boston instead. Buddy considers the matter closed and in an old fashion sexist way will not even discuss the matter with her. She rolls over to go to sleep, clearly saddened. Buddy's LA hipster friend, Sam Steele, comes to town toting a bag of drugs. While Jenny is away, Buddy and his pal play. At Jenny's cousin's wedding the phone rings with the news that Buddy did indeed overdose. He is dead. Jenny is blown away with shock. At the memorial Nate and Jenny bond once again and it seems that only Nate understands what she is going through. Neither really know where it's going to lead, but realizing that might not be such a bad thing."
726,A Nun's Curse (2020),https://subslikescript.com/movie/A_Nuns_Curse-8426182,A group of travelers are forced to seek shelter inside an abandoned jail where a notorious nun named Sister Monday had once been assigned and was suspected of murdering prisoners.
727,A NY Thing (2009),https://subslikescript.com/movie/A_NY_Thing-1363126,"A French romantic follows his dream girl to NYC, but a weekend of white lies, one-night-stands and tangled love triangles prove infatuation and romance are not what they seem. Featuring indie darling Greta Gerwig."
728,A or B (2018),https://subslikescript.com/movie/A_or_B-8366766,"Zhong Xiaonian, a filthy rich investor who has been rigging the stock market for years. He groggily wakes up one morning to find himself trapped inside his own house, with a sanctimonious kidnapper at the end of a walkie-talkie."
729,A Outra Margem (2007),https://subslikescript.com/movie/A_Outra_Margem-799788,"Ricardo is a transvestite. After a failed attempt of suicide, he has to come back to his roots and to relearn how to live with the inspiring help of his sister and, mostly, of his nephew Vasco, who has Down syndrome."
730,A Parent's Worst Nightmare (2017),https://subslikescript.com/movie/A_Parents_Worst_Nightmare-5616212,
731,A Paris Education (2018),https://subslikescript.com/movie/A_Paris_Education-6593240,"Etienne comes to Paris from Lyon to study cinema, meets many new friends and falls under the thrall of the mysterious Mathias."
732,A Paris Romance (2019),https://subslikescript.com/movie/A_Paris_Romance-10136826,"Isabella travels to Paris to compete in a major wine competition. While there she meets, Jacque, a competitor who shows her the city of love and teaches her about how wine is more than just a business."
733,A Parting Shot (2007),https://subslikescript.com/movie/A_Parting_Shot-910935,"A rebellious teenager and a ""border-line"" young nurse will learn to tame each other and get a fresh start in life."
734,A Passage to India (1984),https://subslikescript.com/movie/A_Passage_to_India-87892,"Circa 1920, during the Indian British rule, Dr. Aziz H. Ahmed was born and brought up in India. He is proficient in English, and wears Western style clothing. He meets an old lady, Mrs. Moore, at a mosque, who asks him to accompany her and her companion, Adela Quested, for sight-seeing around some caves. Thereafter the organized life of Aziz is turned upside down when Adela accuses him of molesting her in a cave. Aziz is arrested and brought before the courts, where he learns that the entire British administration is against him, and would like to see him found guilty and punished severely, to teach all native Indians what it means to molest a British citizen. Aziz is all set to witness the ""fairness"" of the British system, whose unofficial motto is ""guilty until proved innocent."""
735,A Passion for Murder (1992),https://subslikescript.com/movie/A_Passion_for_Murder-103818,"Ben Shorr is a taxi driver full of debts and aspiring writer. One day, he drives the gorgeous Vanessa, who is the lover of the imminent senator Eric Weaver, home. Vanessa and Eric have a serious argument; they fight and she accidentally kills him. Vanessa is indeed an agent from the government, with a mission of get inside information and compromise the future senator with her agency. Quinn, a government killer working for the same agency, is in charge of eliminating her. Vanessa hires Ben, trying to go to Seattle and leave USA through her contacts in that area. However Quinn is hunting them down."
736,A Patch of Blue (1965),https://subslikescript.com/movie/A_Patch_of_Blue-59573,"Accidentally blinded by her prostitute mother Rose-Ann at the age of five, Selina D'Arcey spends the next 13 years confined in the tiny Los Angeles apartment that they share with ""Ole Pa"", Selina's grandfather. One afternoon at the local park, Selina meets Gordon Ralfe, a thoughtful young office worker whose kind-hearted treatment of her results in her falling in love with him, unaware that he is black. They continue to meet in the park every afternoon and he teaches her how to get along in the city. But when the cruel, domineering Rose-Ann learns of their relationship, she forbids her to have anything more to do with him because he is black. Selina continues to meet Gordon despite Rose-Ann's fury, who is determined to end the relationship for good."
737,A Patch of Fog (2015),https://subslikescript.com/movie/A_Patch_of_Fog-2181282,A security guard catches a famous writer/television host shoplifting and blackmails him into becoming friends.
738,A Patient Man (2019),https://subslikescript.com/movie/A_Patient_Man-8778658,"In the aftermath of a terrible car accident, a man tries to make sense of his life and seeks revenge for what his has lost."
739,A Perfect 14 (2018),https://subslikescript.com/movie/A_Perfect_14-3302266,A Perfect 14 explores the fascinating world of plus-size modelling and the women involved who are fighting to reshape fashion and the standards of society. This film follows the journeys of three plus-size models as they struggle against the distorted perception of body image that is being perpetuated in people's minds. These women share their personal experiences of challenges and successes to help empower themselves and others to eradicate the currently held standards of beauty.
740,A Perfect Christmas (2016),https://subslikescript.com/movie/A_Perfect_Christmas-5863634,"Steve and Cynthia are a newlywed couple celebrating their first Christmas together. They invite their families to join them for the holidays, but when Steve is laid off just before Christmas and Cynthia discovers she's pregnant, they both keep their news secret in hopes that the celebration runs smoothly."
741,A Perfect Christmas List (2014),https://subslikescript.com/movie/A_Perfect_Christmas_List-4276834,"As a last wish, a recently hospitalized grandmother, Evie, tasks her daughter and granddaughter, Sara, with a list of festive accomplishments to do together before Christmas, hoping that the adventure of the experience will repair their relationship. Along the way, Sara discovers an unlisted Christmas adventure of her own."
742,A Perfect Ending (2012),https://subslikescript.com/movie/A_Perfect_Ending-1823059,"Rebecca has a very unusual secret, one that not even her best friends know about. The last person on earth she expects to reveal it to is a high priced escort named Paris. What starts as a comedy of errors ends up a uniquely erotic journey. Rebecca's unconventional efforts to find herself are raw, evocative, and often times humorous, but always very real, very human. Sometimes a perfect ending is not what you expect it to be."
743,A Perfect Enemy (2020),https://subslikescript.com/movie/A_Perfect_Enemy-9421200,"Successful architect Jeremiasz Angust is approached on his trip to the Paris Airport by a chatty girl called Texel Textor. She is a strange young woman who seems to be looking for captive victims whom she forces to listen to her strange stories. Jeremy loses the flight because of Texel and once they are installed in the lounge area, he will not be able to get rid of the annoying stranger. Although the meeting seems fortuitous, soon there be a turn that will transform the character of that encounter into something much more sinister and criminal."
744,A Perfect Getaway (2009),https://subslikescript.com/movie/A_Perfect_Getaway-971209,"For their honeymoon, newlyweds Cliff and Cydney head to the tropical islands of Hawaii. While journeying through the paradisaical countryside the couple encounters Kale and Cleo, two disgruntled hitchhikers and Nick and Gina, two wild but well-meaning spirits who help guide them through the lush jungles. The picturesque waterfalls and scenic mountainsides quickly give way to terror when Cliff and Cydney learn of a grisly murder that occurred nearby and realize that they're being followed by chance acquaintances that suspiciously fit the description of the killers."
745,A Perfect Life (2010),https://subslikescript.com/movie/A_Perfect_Life-1337682,"In this sexy, urban thriller, Andrew Walters leads A Perfect Life, with a high-powered career and beautiful wife. But not since Fatal Attraction has an extra-marital affair gone so wrong."
746,A Perfect Murder (1998),https://subslikescript.com/movie/A_Perfect_Murder-120787,"Millionaire industrialist Steven Taylor is a man who has everything but what he craves most: the love and fidelity of his wife. A hugely successful player in the New York financial world, he considers her to be his most treasured acquisition. But she needs more than simply the role of dazzling accessory. Brilliant in her own right, she works at the U.N. and is involved with a struggling artist who fulfills her emotional needs. When her husband discovers her indiscretion, he sets out to commit the perfect murder and inherit her considerable trust fund in the bargain."
747,A Perfect Pairing (2022),https://subslikescript.com/movie/A_Perfect_Pairing-15215512,It follows a hard-driving LA wine-company executive who travels to an Australian sheep station to land a major client and there she ends up working as a ranch hand and sparking with a rugged local.
748,A Perfect Plan (2020),https://subslikescript.com/movie/A_Perfect_Plan-9261042,Four notorious thieves wake up in a fortified warehouse and are forced by a cunning master thief to plan and commit an extraordinary diamond heist.
749,A Perfect World (1993),https://subslikescript.com/movie/A_Perfect_World-107808,"After escaping from a Huntsville prison, convict Butch Haynes and his partner Terry Pugh kidnap a young boy, Philip Perry, and flee across Texas. As they travel together, Butch and Philip discover common bonds and suffer the abuses of the outside ""Perfect World."" In pursuit is Texas Ranger ""Red"" Garnett and criminologist Sally Gerber."
750,A Perfectly Normal Family (2020),https://subslikescript.com/movie/A_Perfectly_Normal_Family-8326624,"Emma has a perfectly normal family until one day it turns out her dad, Thomas, is transgender. As Thomas becomes Agnete, both father and daughter struggle to hold on to what they had while accepting that everything has changed."
751,A pesar de todo (2019),https://subslikescript.com/movie/A_pesar_de_todo-9150970,
752,A Pest in the House (1947),https://subslikescript.com/movie/A_Pest_in_the_House-39700,"A sleepy man demands total quiet from hotel manager Elmer Fudd, but bellhop Daffy's noisy antics keep prompting the exasperated guest to sock Elmer in the face."
753,A Phu and His Wife (1961),https://subslikescript.com/movie/A_Phu_and_His_Wife-2069105,"Feature film on romance and social life of the minority ethnic in the Northwest of Vietnam. Mi and A Phu, a Meo couple, freed themselves with the aid of communist leadership and joined the rising against the French in August 1945."
754,A Piece of the Action (1977),https://subslikescript.com/movie/A_Piece_of_the_Action-76543,"Dave Anderson and Manny Durrell are two high-class sneak thieves who have never been caught. Joshua Burke is a retired detective who has enough evidence on the both of them to put them behind bars. Instead, he offers to maintain his silence if the crooks will go straight and do work at a youth center for delinquents. At first, the crooks are reluctant and unwilling (and so are the kids). As time goes by they gain the trust and admiration of the kids and they start to enjoy the job. All goes well until someone out of the past tells them they have to do one last heist...or else..."
755,A Pig's Tale (1994),https://subslikescript.com/movie/A_Pigs_Tale-114132,"Kids' comedy with all the clichés. Six boys (hero, pudgy, dumb, romeo, etc), reluctantly sent to summer camp, are grouped together in a ramshackle hut, and instantly identified as losers and outcasts by the overconfident camp bullies, who target gorgeous Tiffany (Jakub) as their Lothario's girlfriend. They set out to make everyone's life miserable as they impose their authority on the other kids and ineffective counselors alike. Andy, the good-guy hero, of course has a crush on Tiffany, but hasn't a clue how to approach her. Gradually, the nice guys gain the edge over the bullies, by honest endeavor and standing up for themselves - and in doing so, win over the other kids, even Tiffany. Until the bullies frame them and have them expelled."
756,A Pigeon Sat on a Branch Reflecting on Existence (2014),https://subslikescript.com/movie/A_Pigeon_Sat_on_a_Branch_Reflecting_on_Existence-1883180,"Sam and Jonathan, a pair of hapless novelty salesman, embark on a tour of the human condition in reality and fantasy that unfold in a series of absurdist episodes."
757,A Pink Christmas (1978),https://subslikescript.com/movie/A_Pink_Christmas-330768,The Pink Panther employs various strategies in an effort to get himself a big holiday dinner.
758,A Pistol for Ringo (1965),https://subslikescript.com/movie/A_Pistol_for_Ringo-59601,"Finito in prigione per avere ucciso, per legittima difesa, tre uomini mentre giocava a campana, Ringo viene liberato per infiltrarsi tra i banditi capeggiati da Sancho che, dopo una rapina in banca, si sono asserragliati nella fattoria del maggiore Clyde. Ringo, detto Faccia d'Angelo, chiede il trenta per cento del bottino per la sua impresa, poi, arrivato alla fattoria, svela tutto a Sancho ottenendo il quaranta per cento del bottino per portare in salvo lui e i suoi compari..."
759,A Place Called Home (2004),https://subslikescript.com/movie/A_Place_Called_Home-375139,"The story of Southern Belle, Tula, who is living her older years in huge, yet crumbling, country house. Wary of visitors, her routine is shaken by two con-artists, Hank Ford and his daughter Cali, who are eying up Tula as their next victim."
760,A Place for Lovers (1968),https://subslikescript.com/movie/A_Place_for_Lovers-62656,"Julia, a divorced American fashion designer, is dying of a tragic, incurable disease. With only ten days to live, she spends her time vacationing in an Italian villa and watching television. She spots a TV interview with an Italian engineer Valerio, who designs plastic air bags to protect passengers in automobile collisions. She recognizes his face as having met him before at the airport and calls him up to invite him over to her villa where they decide to spend the next several days together, making love. Julia's friend Maggie reappears and reveals that Julia is actually an escapee from the hospital where she was being treated for her disease. Maggie urges Julia to return to the hospital where she can die a painless death. Julia ignores her and returns to the villa and the arms of her lover. Maggie then telephones Valerio and tells him about Julia's condition. Valerio is willing to stay for the duration but Julia is so upset by the fact that her lover knows her secret that she runs to a nearby mountaintop with the intention of committing suicide."
761,A Place in Heaven (2013),https://subslikescript.com/movie/A_Place_in_Heaven-2960994,"A young officer returns to his base after a daring mission. The cook's assistant, a religious Holocaust survivor, is envious of him. He believes that there is a place in heaven reserved for the brave officer who endangers his life for the sake of his Jewish brethren. The officer, in the spirit of the Zionist ethos, is secular and a non-believer. At the moment, he is so hungry that, for a plate of shaksuka, he is prepared to sign a contract transferring his secured place in heaven to the cook. Some forty years later, the present time of the movie, the tables have turned - the officer, now a retired general, is on his death bed in the hospital. His son who, to his father's horror, has found religion, is in a race against time. Before his father dies, he has to find that cook's assistant who, forty years earlier, bought his place in heaven. If and when he finds him, the son has to nullify the contract. If he doesn't, his father will go to hell."
762,A Place in the Sun (2012),https://subslikescript.com/movie/A_Place_in_the_Sun-2230434,"A Swedish family is found murdered in their home in Costa del Sol in southern Spain - all except the 16-year-old daughter, who has disappeared without a trace. Is it a burglary gone wrong?"
763,A Place in the Sun (1951),https://subslikescript.com/movie/A_Place_in_the_Sun-43924,"The young and poor George Eastman (Montgomery Clift) leaves his religious mother and Chicago and arrives in California expecting to find a better job in the business of his wealthy uncle Charles Eastman. His cousin Earl Eastman advises him that there are many women in the factory and the basic rule is that he must not hang around with any of them. George meets the worker of the assembly line, Alice Tripp, in the movie theater and they date. Meanwhile, the outcast George is promoted and he meets the gorgeous Angela Vickers at a party thrown at his uncle's house. Angela introduces him to the local high society and they fall in love with each other. However, Alice is pregnant and she wants to get married with George. During a dinner party at Angela's lake house with parents, relatives, and friends, Alice calls George from the bus station and gives him thirty minutes to meet her; otherwise she will crash the party and tell what has happened. George is pressed by the situation which ends in a tragedy."
764,A Place in the World (1992),https://subslikescript.com/movie/A_Place_in_the_World-104774,"Mario and Ana, in voluntary exile from Buenos Aires, live in a remote Argentine valley with their 12-year-old son Ernesto. Mario runs a school and a wool cooperative; Ana, a doctor, heads a clinic with Nelda, a progressive nun. Into this idealistic family comes Hans, a jaded Spanish geological engineer -- surveying the land for the local patron, to see if it can be dammed for hydro-electric power, which would drive the peasants from the land into the cities."
765,A Place We Go To (2018),https://subslikescript.com/movie/A_Place_We_Go_To-5811284,"Set in the middle of a breathtaking South Dakota landscape, a love affair between Dong and Laurin, two women of different backgrounds buds, flowers, and fades."
766,A Playful Romance (2021),https://subslikescript.com/movie/A_Playful_Romance-14460090,
767,A Pocketful of Chestnuts (1970),https://subslikescript.com/movie/A_Pocketful_of_Chestnuts-65527,
768,A pogány madonna (1981),https://subslikescript.com/movie/A_pogny_madonna-81349,This funny crime/comedy was the beginning of the Csöpi&Kardos-films (starring István Bujtor and András Kern).
769,A Polish Vampire in Burbank (1983),https://subslikescript.com/movie/A_Polish_Vampire_in_Burbank-89823,"A somewhat reluctant vampire is taken out by his sexpot sister for his first ""night out on the town."""
770,A Pool Without Water (1982),https://subslikescript.com/movie/A_Pool_Without_Water-227066,
771,A Postcard from Pyongyang - Traveling through Northkorea (2019),https://subslikescript.com/movie/A_Postcard_from_Pyongyang_-_Traveling_through_Northkorea-11429372,
772,A Prayer for Compassion (2019),https://subslikescript.com/movie/A_Prayer_for_Compassion-7980694,"The film follows Thomas on a quest across America, that ultimately takes him to Morocco for the UN Climate Conference and throughout the Indian subcontinent to ask people of faith the question, ""Can compassion grow to include all beings?"""
773,A Prayer for the Damned (2018),https://subslikescript.com/movie/A_Prayer_for_the_Damned-7141520,"13 yrs after the American Civil War, in a strange town in New Mexico, a gunfighter and his gambler woman search for the lost Confederate fortune. Things turn deadly when they cross paths with a demented preacher who has other plans."
774,A Price Above Rubies (1998),https://subslikescript.com/movie/A_Price_Above_Rubies-120793,About a young woman who is married to a devout Jew and the problems that trouble their marriage because of the woman wanting something more out of her life
775,A Prince for Christmas (2015),https://subslikescript.com/movie/A_Prince_for_Christmas-4648986,"Experiencing cold feet about his upcoming arranged royal wedding, a charming European prince steals away incognito to the U.S. in search of true love. Pretending to be someone he isn't, the prince-on-the-lam meets Emma a diner waitress whose Christmas needs considerable brightening."
776,A Princesa e o Robô (1983),https://subslikescript.com/movie/A_Princesa_e_o_Rob-486893,
777,A Princess for Christmas (2011),https://subslikescript.com/movie/A_Princess_for_Christmas-1083448,"Jules Daly is struggling to raise her orphaned niece and nephew (Maggie and Milo) alone, but it isn't easy after getting downsized out of her antique sales job while Milo rebels against the death of his parents through petty theft. With things looking bleak for Christmas, an English butler named Paisley arrives with an invitation for all to come see the kids' emotionally distant grandfather who lives in Castlebury Hall, somewhere near Liechtenstein. With nothing to hold them back, they go, but the grandfather - Edward, Duke of Castlebury - is rather cold over their visit to his castle. So is his other surviving son, Ashton, Prince of Castlebury. Before long, they're all having a good time and looking forward to hosting a Christmas Eve ball, but Jules overhears a conversation from which she draws a wrong conclusion."
778,A Private Affair (2002),https://subslikescript.com/movie/A_Private_Affair-288276,"It's been six months since Rachel Siprien disappeared. At the request of Rachel's mother, private detective François takes over the investigation. The young woman, with a complex and multi-faceted personality, is part of a strange network made up of her best friend, her ex-boyfriend, her stepfather and everyone who knows her well or even slightly. François begins to frequent these various friends and acquaintances, and penetrates Rachel's daytime and nocturnal habitat. He spies, asks disturbing questions, and intentionally fills in the blanks left by those he questions."
